from,to,"""col"""
02qqh1125,Institut Pierre Louis d‘Épidémiologie et de Santé Publique,col
02haar591,Institut Pierre-Simon Laplace,col
05neq8668,Institut Systèmes Intelligents et de Robotique,col
02s56xp85,Institut d'écologie et des sciences de l'environnement de Paris,col
01c2cjg59,Institut de Biologie Paris-Seine,col
04ef65y11,"Institut de Chimie Moléculaire de Paris : organique, inorganique et biologique",col
03fk87k11,Institut de Mathématiques de Jussieu-Paris Rive Gauche,col
0270xt841,Institut de Myologie,col
002zc3t08,Institut de Mécanique Céleste et de Calcul des Éphémérides,col
04gf9wd48,Institut de Recherche en Musicologie,col
01dadvw90,"Institut de Systématique, Évolution, Biodiversité",col
05jpad840,Institut de la Mer de Villefranche,col
000zhpw23,Institut de la Vision,col
05abgg682,"Institut de minéralogie, de physique des matériaux et de cosmochimie",col
03t2f0a12,Institut des NanoSciences de Paris,col
00xagyq07,Institut des Sciences de la Terre de Paris,col
00y16rm59,Institut des Sciences du Calcul et des Données,col
050gn5214,Institut du Cerveau,col
03x9frp33,Institut du Fer à Moulin,col
007xn7v02,Japanese-French Laboratory for Informatics,col
00jb20a14,Laboratoire Interfaces et Systèmes Électrochimiques,col
04xmteb38,Laboratoire Jacques-Louis Lions,col
01ghvgs84,Laboratoire Jean Perrin,col
01h14ww21,Laboratoire Kastler Brossel,col
04tb23024,Laboratoire Médiations,col
03hgsyv65,Laboratoire Temps Espace,col
05ppf7q77,"Laboratoire atmosphères, milieux, observations spatiales",col
049xh5y45,Laboratoire d'Ecogéochimie des Environnements Benthiques,col
01jr1v359,Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances en e-Santé,col
05nk54s89,Laboratoire d'Océanographie Microbienne,col
05j3atf73,Laboratoire d'Océanographie et du Climat : Expérimentations et Approches Numériques,col
02m0hy518,Laboratoire d'études sur les monothéismes,col
039p01270,Laboratoire de Biodiversité et Biotechnologies Microbiennes,col
00pcqj134,Laboratoire de Biologie Computationnelle et Quantitative,col
001c8pb03,Laboratoire de Biologie Intégrative des Modèles Marins,col
05mx55f96,Laboratoire de Biologie Moléculaire et Cellulaire des Eucaryotes,col
024hnwe62,Laboratoire de Biologie du Développement,col
04hke8425,Laboratoire de Biologie du Développement de Villefranche-sur-Mer,col
03z20vp15,Laboratoire de Chimie Physique - Matière et Rayonnement,col
00tmb7y09,Laboratoire de Chimie Théorique,col
02xnnng09,Laboratoire de Génie Électrique et Électronique de Paris,col
000ehr937,Laboratoire de Météorologie Dynamique,col
01hg8p552,Laboratoire de Physique Nucléaire et de Hautes Énergies,col
04zaaa143,Laboratoire de Physique Théorique de la Matière Condensée,col
02mph9k76,Laboratoire de Physique Théorique et Hautes Energies,col
03a26mh11,Laboratoire de Physique de l'ENS,col
05c95bg36,Laboratoire de Physique des Plasmas,col
00a72jq18,Laboratoire de Physique et d’Étude des Matériaux,col
02vnd0e65,"Laboratoire de Probabilités, Statistique et Modélisation",col
05krcen59,Laboratoire de Recherche en Informatique de Paris 6,col
04vthwx70,Laboratoire de Réactivité de Surface,col
02fv42846,Laboratoire de chimie des processus biologiques,col
05vd6h165,Laboratoire des Biomolécules,col
02ctqqq48,Laboratoire d’Archéologie Moléculaire et Structurale,col
01g5pq328,Laboratoire d’Etudes du Rayonnement et de la Matière en Astrophysique et Atmosphères,col
02b9znm90,Laboratoire d’Imagerie Biomédicale,col
05r5y6641,Laboratoire d’Océanographie de Villefranche,col
03cqwn895,Laboratoire d’immunologie intégrative du cancer,col
02eptjh02,Laboratoire d’études spatiales et d’instrumentation en astrophysique,col
002ty1h48,Laboratoire pour l'utilisation des lasers intenses,col
0387w4y93,Maladies génétiques d’expression pédiatrique,col
01x3ydm75,Maladies rénales fréquentes et rares : des mécanismes moléculaires à la médecine personnalisée,col
0366b1491,Metabolism and Renal Physiology,col
0229z0679,"Milieux environnementaux, transferts et interactions dans les hydrosystèmes et les sols",col
02jkg8m11,"Molécule aux Nanos-objets : Réactivité, Interactions et Spectroscopies",col
04sv5r538,"Métaphysique, histoires, transformations, actualités",col
05kytrf83,Méthodes et Outils pour les Sciences Participatives,col
00a8q8z31,NeurON : Interface Neuro-machine,col
0259td381,Neurophysiologie respiratoire expérimentale et clinique,col
02sps6z09,Neurosciences Paris-Seine,col
00qdphm77,Nutrition et obésité : approches systémiques,col
05gz4kr37,Observatoire Océanologique de Banyuls-sur-Mer,col
01365h357,Observatoire des sciences de l'Univers Paris-Centre Ecce Terra,col
0138eq662,Onco-Urologie Prédictive,col
051gvfp41,Orient & Méditerranée,col
01rrvyp50,Outils de Résolution Algébriques pour la Géométrie et ses Applications,col
046htjf88,PHENIX laboratory,col
00adasd53,Paris Centre for Quantum Technologies,col
02ffzdx16,Paris Network for Advanced Microscopy,col
055ss7a31,Physique des Cellules et Cancers,col
03kr50w79,Physique et Mécanique des Milieux Hétérogènes,col
04ph5sm90,PremUP,col
033t7vz72,Processus d'Activation Sélective par Transfert d'Énergie Uni-électronique ou Radiatif,col
03p2d3k93,Production et analyse de données en sciences de la vie et en santé,col
002v3cy83,Pôle de Recherche pour l'Organisation et la Diffusion de l'Information Géographique,col
01sra1980,Remodelage et Reparation du Tissu Renal,col
01r19bq53,Replication des chromosomes eucaryotes et ses points de contrôle,col
053sj3y70,"Représentations et Identités. Espaces Germanique, Nordique et Néerlandophone",col
04shr9s31,Robotique et Innovation Chirurgicale,col
011hja523,Rome et ses renaissances,col
02qvhgb32,Réanimation et soins intensifs du patient en Insuffisance respiratoire aigüe,col
044feat76,SUMMIT,col
03f0z1g15,Sciences et Ingénierie de la Matière Molle,col
025xvn046,Sciences et Technologies de la Musique et du Son,col
033eqsk67,"Sciences, Normes, Démocratie",col
02q5emw59,"Sens, Texte, Informatique, Histoire",col
03ae8w006,"Sorbonne - Identités, Relations Internationales et Civilisations de l’Europe",col
03s0pzj56,Station Biologique de Roscoff,col
02qe0rk31,THERANOSCAN : Biomarqueurs Théranostiques des Cancers Bronchiques Non à Petites Cellules,col
04fgntk96,Tara Oceans Systems Ecology & Evolution,col
04m69ya83,"Théâtre antique : textes, histoire et réception",col
02g0s3c07,Transplantation et Thérapies Innovantes de la Cornée,col
04nc8v966,Troubles psychiatriques et développement,col
027jrtw17,UMI MajuLab,col
05pm2xt51,UMS Phénotypage du petit animal,col
01ms54x07,UMS-Autonomie,col
053kxkj53,Unité de Modélisation Mathématique et Informatique des Systèmes Complexes,col
043y2tx42,Unité de recherche sur les maladies cardiovasculaires et métaboliques,col
02m26fm05,Voix Anglophones : Littérature et Esthétique,col
05re0sm29,École des Neurosciences de Paris,col
05ntgv723,Équipe Littérature et Culture italiennes,col
037ptrs19,Étude et Édition de Textes Médiévaux,col
024v1ns19,Centre hospitalier national d'ophtalmologie des Quinze-Vingts,col
0038zss60,European Marine Biological Resource Centre,col
01bbf9m56,"Fédération Francilienne de Mécanique - Matériaux, Structures, Procédés",col
03qgfy688,Fédération Ile de France de recherche sur l'environnement,col
00mqc8k54,Fédération de Chimie et Matériaux de Paris-Centre,col
05edayg07,Fédération de Physico-Chimie Analytique et Biologique,col
03hkqjb05,Fédération de Recherche Interactions Fondamentales,col
01x6z5t49,Fédération de Recherche Spectroscopies de Photoémission,col
0459fdx51,Fédération de Recherche sur l'Energie Solaire,col
02rmk5x23,Fédération de recherche PLAS@PAR,col
02jwwk370,Fédération de recherche en sciences mathématiques de Paris centre,col
00hgbrg14,"Fédération française Matériaux sous hautes vitesses de déformation. Application aux matériaux en conditions extrêmes, Procédés et structures",col
01nrtdp55,GDR NBODY : Problème quantique à N corps en chimie et physique,col
00yfbr841,Hôpital Armand-Trousseau,col
04v3xcy66,Hôpital Charles-Foix,col
009kb8w74,Hôpital Rothschild,col
01875pg84,Hôpital Saint-Antoine,col
05h5v3c50,Hôpital Tenon,col
02t1zz428,Hôpital de la Roche-Guyon,col
04yem5s35,INFRANALYTICS,col
022bnxw24,Institut d'Astrophysique de Paris,col
05be9p317,Micropesanteur Fondamentale et Appliquée,col
01sgwka45,Microscopie Fonctionnelle du Vivant,col
05hb8m595,PHOTOSYNTHESE,col
02mh9a093,Pitié-Salpêtrière Hospital,col
